,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
216,Captain's Table,4.2,12,2 oz Gin,1/2 oz Campari,1 tsp Grenadine,1 oz Orange juice,4 oz Ginger ale,1 Maraschino cherry
217,Caramel Nut,8.2,5,1 oz Creme de Cacao,1 oz Caramel liqueur,5 oz soft Vanilla ice-cream,Chopped Nuts,,
218,Cardinal,7.7,3,1 1/2 oz Añejo rum,1/2 oz Maraschino liqueur,1 tsp Triple sec,1 tsp Grenadine,,
219,Caroli,3.0,1,crushed Ice,2 oz Gin,1/2 oz Apricot brandy,1 dash Orange bitters,,
220,Carrol Cocktail,6.0,2,3/4 oz Sweet Vermouth,1 1/2 oz Brandy,1 Cherry,,,
221,Caruso,5.0,9,1 1/2 oz Gin,1 oz Dry Vermouth,1 oz Green Creme de Menthe,,,
222,Caruso Blanco,4.0,3,1 1/2 oz Gin,1 oz Dry Vermouth,1 oz White Creme de Menthe,,,
223,Casa Blanca,9.3,6,2 oz Light rum,1 1/2 tsp Triple sec,1 1/2 tsp Lime juice,1 1/2 tsp Maraschino liqueur,,
224,Casino Cocktail,9.6,5,2 oz Gin,1/4 tsp Maraschino liqueur,1/4 tsp Lemon juice,2 dashes Orange bitters,1 Cherry,
225,Casino Royale,5.7,3,2 oz Gin,1/2 oz Lemon juice,1 tsp Maraschino liqueur,1 dash Orange bitters,1 Egg yolk,
226,Catherine Of Sheridan Square,5.0,1,1 1/2 oz Dark rum,1/2 oz Tia maria,1 oz Light cream,4 oz cold Coffee,crushed Ice,
227,Celtic Mix Cocktail,5.8,5,1 1/2 oz Scotch,1 oz Irish whiskey,1/2 oz Lemon juice,1 dash Bitters,,
228,Champagne Cocktail,6.3,198,Chilled Champagne,1 piece Sugar,2 dashes Bitters,1 twist of Lemon peel,,
229,Champs Elysees Cocktail,6.4,5,1 oz Brandy,1/2 oz Yellow Chartreuse,Juice of 1/4 Lemon,1/2 tsp Powdered sugar,1 dash Bitters,
230,Chapala,8.1,20,1 1/2 oz Tequila,1 dash Triple sec,2 tsp Grenadine,1 tblsp Orange juice,1 tblsp Lemon juice,1 slice Orange
231,Charger,3.2,4,1 1/2 oz Dark rum,1/2 oz Cherry brandy,1/2 oz Lemon juice,1/2 tsp superfine Sugar,,
232,Charles Cocktail,6.0,3,1 1/2 oz Brandy,1 1/2 oz Sweet Vermouth,1 dash Bitters,,,
233,Charlie Chaplin,6.8,9,1 oz Apricot brandy,1 oz Sloe gin,1 oz Lemon juice,,,
234,Chelsea Hotel,7.2,23,1 1/2 oz Gin,1/2 oz Triple sec,2 tsp Lemon juice,,,
235,Cherie,2.5,2,1/2 oz Cherry brandy,1 oz Light rum,1/2 oz Triple sec,Juice of 1 Lime,1 Cherry,
236,Cherried Cream Rum,1.0,3,1 1/2 oz Light rum,1/2 oz Cherry brandy,1/2 oz Light cream,,,
237,Cherry Blossum,7.7,9,1 1/2 oz Brandy,1/2 oz Cherry brandy,1 1/2 tsp Triple sec,1 1/2 tsp Grenadine,2 tsp Lemon juice,1 Cherry
238,Cherry Fizz,6.1,8,2 oz Cherry brandy,Juice of 1/2 Lemon,1 Cherry,,,
239,Cherry Flip,6.7,3,1 1/2 oz Cherry brandy,1 tsp Powdered sugar,2 tsp Light cream,1 whole Egg,,
240,Cherry Rum,7.5,2,1 1/4 oz Light rum,1 1/2 tsp Cherry brandy,1 tblsp Light cream,,,
241,Cherry Sling,3.5,4,2 oz Cherry brandy,Juice of 1/2 Lemon,1 twist of Lemon peel,,,
242,Chi-Chi,6.0,106,1 1/2 oz Vodka,4 oz Pineapple juice,1 oz Cream of coconut,1 slice Pineapple,1 Cherry,
243,Chicago Fizz,8.0,3,1 oz Light rum,1 oz Port,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 Egg white,
244,Chocolate Black Russian,7.9,18,1 oz Kahlua,1/2 oz Vodka,5 oz Chocolate ice-cream,,,
245,Chocolate Cocktail,5.0,2,1 1/2 tsp Yellow Chartreuse,1 1/2 oz Port,1 tsp Powdered sugar,1 Egg white,,
246,Chocolate Mint Rum,5.2,4,1 oz Dark rum,1/2 oz 151 proof rum,1/2 oz Dark Creme de Cacao,2 tsp White Creme de Menthe,1/2 oz Light cream,
247,Chocolate Rum,5.5,24,1 oz Light rum,1 tsp 151 proof rum,1/2 oz Creme de Cacao,1/2 oz White Creme de Menthe,1 tblsp Cream,
248,Chocolate Snow Bear,8.8,13,1 oz Amaretto,1 oz Creme de Cacao,5 oz Vanilla ice-cream,1/4 oz Chocolate syrup,2 dashes Vanilla extract,
249,Chocolate Soldier,6.5,4,1 1/2 oz Gin,3/4 oz Dubonnet Rouge,Juice of 1/2 Lime,,,
250,Chocolatier,7.7,3,1 oz Light rum,1 oz Creme de Cacao,5 oz Chocolate ice-cream,1 tblsp shaved sweet Chocolate,,
251,Choker,5.7,3,2 oz Scotch,2 tsp Pernod,2 dashes Bitters,,,
252,City Slicker,4.7,12,2 oz Brandy,1/2 oz Triple sec,1 tblsp Lemon juice,,,
253,Clamato Cocktail,8.2,10,1 1/2 oz Vodka,3 oz Tomato juice,1 oz Clamato juice,,,
254,Claridge Cocktail,8.8,9,3/4 oz Dry Vermouth,3/4 oz Gin,1 tblsp Apricot brandy,1 tblsp Triple sec,,
255,Climax,8.0,19,1/2 oz Amaretto,1/2 oz white Creme de Cacao,1/2 oz Triple sec,1/2 oz Vodka,1/2 oz Creme de Banane,1 oz Light cream
256,Clove Cocktail,7.6,5,1 oz Sweet Vermouth,1/2 oz Sloe gin,1/2 oz Muscatel Wine,,,
257,Clover Club Cocktail,8.3,10,1 1/2 oz Gin,2 tsp Grenadine,Juice of 1/2 Lemon,1 Egg white,,
258,Clover Leaf Cocktail,nan,0,1 1/2 oz Gin,2 tsp Grenadine,Juice of 1/2 Lemon,1 Egg white,1 Mint,
259,Cocomacoque,3.9,8,1 1/2 oz Light rum,2 oz Red wine,Juice of 1/2 Lemon,2 oz Pineapple juice,2 oz Orange juice,1 Pineapple
260,Coconut Toastie,7.7,3,1 oz Light rum,5 tblsp Vanilla ice-cream,1/4 oz Whipped cream,Shredded Coconut,,
261,Coffee Flip,4.0,3,1 oz Brandy,1 oz Port,1 tsp Powdered sugar,1 whole Egg,2 tsp Light cream,
262,Coffee Grasshopper,5.2,6,3/4 oz Coffee brandy,3/4 oz White Creme de Menthe,3/4 oz Light cream,,,
263,Coffee Sour,4.0,3,1 1/2 oz Coffee brandy,1 oz Lemon juice,1 tsp Powdered sugar,1 Egg white,,
264,Cognac Highball,6.8,4,2 oz Cognac,1 twist of Lemon peel,,,,
265,Colonial Cocktail,nan,0,1 1/2 oz Gin,1/2 oz Grapefruit juice,1 tsp Maraschino liqueur,1 Olive,,
266,Combo,7.8,6,2 1/2 oz Dry Vermouth,1 tsp Brandy,1/2 tsp Triple sec,1/2 tsp Powdered sugar,1 dash Bitters,
267,Comforting Tiger,4.5,2,crushed Ice,2 oz Brandy,1/2 oz Southern Comfort,1 tsp Sweet Vermouth,1 twist of Lemon peel,
268,Commodore Cocktail,6.7,3,1 1/2 oz Blended whiskey,Juice of 1/4 Lemon,1 tsp Powdered sugar,2 dashes Orange bitters,,
269,Communicator,6.0,5,1 1/2 oz Dark rum,1/2 oz Galliano,2 tsp Dark Creme de Cacao,,,
270,Compadre,nan,0,1 1/2 oz Tequila,1/2 tsp Maraschino liqueur,1 tsp Grenadine,2 dashes Orange bitters,,
271,Confirmed Bachelor,1.0,1,crushed Ice,1 1/2 oz Gin,1 tsp Grenadine,1/2 tsp Rose's sweetened lime juice,1 Egg white,
272,Continental,1.3,3,1 3/4 oz Light rum,1 1/2 tsp Green Creme de Menthe,1 tblsp Lime juice,1/2 tsp Powdered sugar,1 twist of Lemon peel,
273,Cooperstown Cocktail,9.0,2,1/2 oz Sweet Vermouth,1/2 oz Dry Vermouth,1 oz Gin,1 Mint,,
274,Corkscrew,5.4,7,1 1/2 oz Light rum,1/2 oz Peach schnapps,1/2 oz Dry Vermouth,1 twist of Lemon peel,,
275,Cornell Cocktail,7.8,4,1 1/2 oz Gin,1/2 tsp Lemon juice,1 tsp Maraschino liqueur,1 Egg white,,
276,Cornwall-Nash,7.0,1,1 1/2 oz Light rum,1/2 oz Gin,1/2 oz Triple sec,2 oz Grapefruit juice,1 tsp Cherry brandy,1 Maraschino cherry
277,Coronation Cocktail,nan,0,3/4 oz Dry Vermouth,3/4 oz Gin,3/4 oz Dubonnet Rouge,,,
278,Corpse Reviver,8.2,6,1 1/2 oz Brandy,1/2 oz Fernet Branca,1 oz White Creme de Menthe,,,
279,Cosmos,6.9,17,crushed Ice,2 oz Light rum,1 oz Lime juice,1 tsp superfine Sugar,,
280,Country Club Cooler,3.3,3,2 oz Dry Vermouth,1/2 tsp Grenadine,1 Orange spiral,1 twist of Lemon peel,,
281,Cream Fizz,8.5,2,2 oz Gin,1 tsp Powdered sugar,Juice of 1/2 Lemon,1 tsp Light cream,,
282,Creamsicle,6.5,55,1 1/2 oz Vanilla liqueur,3 oz Orange juice,1 1/2 oz Milk,,,
283,Creamy Orange,9.2,5,3/4 oz Brandy,1 oz cream Sherry,1 oz Orange juice,1 tblsp Light cream,,
284,Creamy Screwdriver,6.0,15,2 oz Vodka,6 oz Orange juice,1 tsp Sugar,1 Egg yolk,,
285,Creme De Gin Cocktail,1.0,1,1 1/2 oz Gin,1/2 oz White Creme de Menthe,2 tsp Lemon juice,2 tsp Orange juice,1 Egg white,
286,Creole,3.9,7,1 1/2 oz Light rum,1 tsp Lemon juice,1 dash Tabasco sauce,,,
287,Crimson Sunset,7.2,6,2 oz Gin,2 tsp Lemon juice,1/2 tsp Grenadine,1/2 oz Tawny port,,
288,Crystal Slipper Cocktail,6.0,1,1 1/2 oz Gin,1/2 oz Blue Curacao,2 dashes Orange bitters,,,
289,Cuba Libre,6.1,476,2 oz Light rum,Juice of 1/2 Lime,,,,
290,Haiku Martini,6.9,8,2 oz Sake,1 dash Dry Vermouth,1 Cocktail onion,,,
291,Cul-De-Sac,4.3,3,2 1/2 oz Añejo rum,1/2 oz Ricard,,,,
292,Daiquiri,6.4,160,1 1/2 oz Light rum,Juice of 1/2 Lime,1 tsp Powdered sugar,,,
293,Damn-The-Weather Cocktail,6.9,14,1 tblsp Sweet Vermouth,1 oz Gin,1 tblsp Orange juice,1 tsp Triple sec,,
294,Damn-Your-Eyes,10.0,1,1 1/2 oz Añejo rum,1/2 oz Dubonnet Blanc,1 tsp Dry Vermouth,1 twist of Lemon peel,,
295,Dance With A Dream Cocktail,6.2,4,2 oz Brandy,1/2 oz Triple sec,1 tsp Anisette,,,
296,Daring Dylan,5.7,3,2 oz Tequila,1 oz Kahlua,crushed Ice,4 oz Mexican Hot chocolate,,
297,David Bareface,5.5,2,1 1/2 oz Light rum,1 oz Heavy cream,1/2 oz white Creme de Cacao,,,
298,Deauville Cocktail,nan,0,1/2 oz Apple brandy,1/2 oz Brandy,1/2 oz Triple sec,Juice of 1/4 Lemon,,
299,"Deep, Dark Secret",3.5,2,1 1/2 oz Dark rum,1/2 oz Añejo rum,1/2 oz Kahlua,1/2 oz Heavy cream,,
300,Delmonico,8.2,8,1 oz Gin,1/2 oz Brandy,1/2 oz Sweet Vermouth,1/2 oz Dry Vermouth,1 dash Bitters,1 twist of Lemon peel
301,Delmonico #2,4.3,3,1/2 oz Dry Vermouth,1/2 oz Sweet Vermouth,1/2 oz Brandy,1/4 oz Gin,1 twist of Lemon peel,
302,Dempsey Cocktail,7.0,3,1 oz Apple brandy,1 oz Gin,1 tsp Anis,1/2 tsp Grenadine,,
303,Derby Daiquiri,5.3,9,1 1/2 oz Light rum,1 oz Orange juice,1 tblsp Lime juice,1 tsp Sugar,,
304,DeRosier,8.0,4,1 oz Añejo rum,1/2 oz Bourbon,1/2 oz Dark Creme de Cacao,1/2 oz Cherry brandy,1 oz Heavy cream,
305,Devil's Cocktail,1.2,4,1 1/2 oz Dry Vermouth,1 1/2 oz Port,1/2 tsp Lemon juice,,,
306,Diamond Fizz,8.4,8,2 oz Gin,Juice of 1/2 Lemon,1 tsp Powdered sugar,Chilled Champagne,,
307,Dianne-On-The-Tower,6.5,2,2 oz Light rum,1/2 oz Bourbon,1 tsp Dark Creme de Cacao,1 tsp Cherry brandy,,
308,Dickie Ward,8.0,3,2 oz Scotch,1 dash Bitters,4 oz Ginger ale,1 Lime,,
309,Dinah Cocktail,5.8,4,1 1/2 oz Blended whiskey,1/2 tsp Powdered sugar,Juice of 1/4 Lemon,1 Mint,,
310,Diplomat,5.3,3,1 1/2 oz Dry Vermouth,1/2 oz Sweet Vermouth,1/2 tsp Maraschino liqueur,2 dashes Bitters,1/2 slice Lemon,1 Cherry
311,Dirty Dick's Downfall,6.4,8,2 oz Gin,1/2 oz Dry Vermouth,1/2 oz Campari,1 twist of Lemon peel,,
312,Dirty Mother,6.4,31,1 1/2 oz Brandy,1/2 oz Kahlua,,,,
313,Dirty White Mother,7.0,12,1 1/2 oz Brandy,1/2 oz Kahlua,,,,
314,Dixie Cocktail,3.0,1,1/2 oz Dry Vermouth,1 oz Gin,1 tblsp Anis,Juice of 1/4 Orange,,
315,Dixie Dew,6.5,2,1 1/2 oz Bourbon,1/2 tsp White Creme de Menthe,1/2 tsp Triple sec,,,
316,Dixie Julep,7.0,4,2 1/2 oz Bourbon,1 tsp Powdered sugar,3 Mint,,,
317,Dixie Stinger,6.0,4,3 oz Bourbon,1/2 oz White Creme de Menthe,1/2 tsp Southern Comfort,,,
318,Dixie Whiskey Cocktail,1.3,3,2 oz Bourbon,1/2 tsp White Creme de Menthe,1/4 tsp Triple sec,1/2 tsp Powdered sugar,1 dash Bitters,
319,Doctor Dawson,6.2,5,2 oz Tequila,1/2 oz Lemon juice,1 tsp superfine Sugar,1 dash Bitters,1 Egg,3 oz Club soda
320,Doralto,7.6,10,1 1/2 oz Tequila,1/2 oz Lemon juice,1/2 tsp superfine Sugar,1 dash Bitters,4 oz Tonic water,1 Lime
321,Dragonfly,8.2,27,1 1/2 oz Gin,4 oz Ginger ale,1 Lime,,,
322,Dream Cocktail,7.3,3,1 1/2 oz Brandy,3/4 oz Triple sec,1/4 tsp Anisette,,,
323,Dressed Up Like A Dogs Dinner,5.0,1,1 1/2 oz Brandy,1 oz Applejack,1 oz Sweet Vermouth,,,
324,Droog's Date Cocktail,6.2,5,1 1/2 oz Light rum,2 tsp Cherry brandy,2 tsp Triple sec,1/2 oz Lime juice,,
325,Dry Rob Roy,8.2,10,2 1/2 oz Scotch,1 1/2 tsp Dry Vermouth,1 twist of Lemon peel,,,
326,Du Barry Cocktail,nan,0,1 1/2 oz Gin,3/4 oz Dry Vermouth,1/2 tsp Anis,1 dash Bitters,1 slice Orange,
327,Dubonnet Cocktail,7.8,4,1 1/2 oz Dubonnet Rouge,3/4 oz Gin,1 dash Bitters,1 twist of Lemon peel,,
328,Dubonnet Fizz,10.0,2,2 oz Dubonnet Rouge,1 tsp Cherry brandy,Juice of 1/2 Orange,Juice of 1/4 Lemon,,
329,Duchess,6.0,2,1 1/2 oz Anis,1/2 oz Sweet Vermouth,1/2 oz Dry Vermouth,,,
330,Dutch Velvet,8.3,7,1/2 oz Chocolate mint liqueur,1/2 oz Banana liqueur,2 oz Light cream,1 tsp shaved sweet Chocolate,,
331,East India Cocktail #1,6.2,4,1 1/2 oz Brandy,1 tsp Jamaican Rum,1/2 tsp Triple sec,1/2 tsp Pineapple juice,1 dash Bitters,1 Cherry
332,East India Cocktail #2,4.5,2,1 1/2 oz dry Sherry,1 1/2 oz Dry Vermouth,1 dash Bitters,,,
333,El Presidente Cocktail #1,6.9,8,1 1/2 oz Light rum,1 tsp Grenadine,1 tsp Pineapple juice,Juice of 1 Lime,,
334,Elephant Lips,7.0,9,1 1/2 oz Dark rum,1/2 oz Creme de Banane,1/2 oz Lemon juice,,,
335,Elk's Own Cocktail,7.0,1,1 1/2 oz Blended whiskey,3/4 oz Port,Juice of 1/4 Lemon,1 tsp Powdered sugar,1 Egg white,1 slice Pineapple
336,Emerald Forest,6.8,5,crushed Ice,1 1/2 oz Gin,1 tsp Green Creme de Menthe,1 tsp White Creme de Menthe,,
337,Emerald Isle Cocktail,3.8,4,2 oz Gin,1 tsp Green Creme de Menthe,3 dashes Bitters,,,
338,Emerson,8.2,5,1 oz Sweet Vermouth,1 1/2 oz Gin,Juice of 1/2 Lime,1 tsp Maraschino liqueur,,
339,English Highball,7.3,6,3/4 oz Brandy,3/4 oz Gin,3/4 oz Sweet Vermouth,1 twist of Lemon peel,,
340,English Rose Cocktail,7.3,3,3/4 oz Apricot brandy,1 1/2 oz Gin,3/4 oz Dry Vermouth,1 tsp Grenadine,1/4 tsp Lemon juice,1 Cherry
341,Entwistle's Error,6.8,6,2 oz Dark rum,1/2 oz Lemon juice,4 oz Tonic water,,,
342,Ethel Duffy Cocktail,5.0,1,3/4 oz White Creme de Menthe,3/4 oz Apricot brandy,3/4 oz Triple sec,,,
343,European,nan,0,1 oz Gin,1/2 oz cream Sherry,1/2 oz Dubonnet Rouge,1/2 oz Dry Vermouth,1/2 tsp Grand Marnier,1 Maraschino cherry
344,Everybody's Irish Cocktail,3.6,5,2 oz Irish whiskey,1 tsp Green Creme de Menthe,1 tsp Green Chartreuse,1 green Olive,,
345,Executive Sunrise,7.6,5,1 1/2 oz Gold tequila,4 oz fresh Orange juice,2 tsp Creme de Cassis,,,
346,Eye-Opener,7.7,3,1 1/2 oz Light rum,1/2 oz Triple sec,2 tsp Pernod,1 tsp white Creme de Cacao,1 Egg yolk,1 tsp superfine Sugar
347,Fairy Belle Cocktail,2.0,1,3/4 oz Apricot brandy,1 1/2 oz Gin,1 tsp Grenadine,1 Egg white,,
348,Fallen Angel,8.4,10,1 1/2 oz Gin,1/2 tsp White Creme de Menthe,Juice of 1/2 Lemon,1 dash Bitters,1 Cherry,
349,Fancy Bourbon,7.3,3,2 oz Bourbon,1/2 tsp Triple sec,1/4 tsp superfine Sugar,2 dashes Bitters,1 twist of Lemon peel,
350,Fancy Brandy,7.5,2,2 oz Brandy,1/4 tsp Triple sec,1/4 tsp Powdered sugar,1 dash Bitters,1 twist of Lemon peel,
351,Fancy Gin,10.0,1,2 oz Gin,1/4 tsp Triple sec,1/4 tsp Powdered sugar,1 dash Bitters,1 twist of Lemon peel,
352,Fancy Scotch,7.8,5,2 oz Scotch,1/2 tsp Triple sec,1/4 tsp superfine Sugar,2 dashes Bitters,1 twist of Lemon peel,
353,Fancy Whiskey,5.8,4,2 oz Blended whiskey,1/4 tsp Triple sec,1/4 tsp Powdered sugar,1 dash Bitters,1 twist of Lemon peel,
354,Fantasio Cocktail,10.0,1,1 oz Brandy,3/4 oz Dry Vermouth,1 tsp White Creme de Menthe,1 tsp Maraschino liqueur,,
355,Farmer Giles,9.0,2,2 oz Gin,1/2 oz Dry Vermouth,1/2 oz Sweet Vermouth,2 dashes Bitters,1 twist of Lemon peel,
356,Farmer's Cocktail,6.7,3,1/2 oz Dry Vermouth,1/2 oz Sweet Vermouth,1 oz Gin,2 dashes Bitters,,
357,Fastlap,4.0,1,2 oz Gin,1/2 oz Pernod,1 oz Orange juice,1/2 tsp Grenadine,,
358,Fat Face,3.7,3,1 1/2 oz Gin,1/2 oz Apricot brandy,1 tsp Grenadine,1 Egg white,,
359,Favorite Cocktail,6.0,3,3/4 oz Apricot brandy,3/4 oz Dry Vermouth,3/4 oz Gin,1/4 tsp Lemon juice,,
360,Fifth Avenue,7.2,4,1/2 oz Creme de Cacao,1/2 oz Apricot brandy,1 tblsp Light cream,,,
361,Fifty-Fifty,8.2,13,1 1/2 oz Gin,1 1/2 oz Dry Vermouth,1 cocktail Olive,,,
362,Fifty-fifty Cocktail,4.9,11,1 1/2 oz Dry Vermouth,1 1/2 oz Gin,,,,
363,Fino Martini,nan,0,2 1/2 oz Gin,1 1/2 tsp Fino Sherry,1 twist of Lemon peel,,,
364,Fireman's Sour,7.9,16,1 1/2 oz Light rum,1 1/2 oz Lime juice,1/2 oz Grenadine,2 oz Club soda,1 Orange,1 Maraschino cherry
365,Flamingo Cocktail,6.7,3,1/2 oz Apricot brandy,1 1/2 oz Gin,Juice of 1/2 Lime,1 tsp Grenadine,,
366,Fleet Street,5.5,2,1 1/2 oz Gin,1/2 oz Sweet Vermouth,1 tsp Dry Vermouth,1 tsp Triple sec,1 tsp Lemon juice,
367,Flirting With The Sandpiper,6.5,2,1 1/2 oz Light rum,1/2 oz Cherry brandy,3 oz Orange juice,2 dashes Orange bitters,,
368,Florida,7.3,7,1/2 oz Gin,1 1/2 tsp Kirschwasser,1 1/2 tsp Triple sec,1 oz Orange juice,1 tsp Lemon juice,
369,Flying Dutchman,4.7,30,2 oz Gin,1/2 oz Triple sec,,,,
370,Flying Scotchman,8.5,8,1 oz Scotch,1 oz Sweet Vermouth,1 dash Bitters,1/4 tsp Sugar syrup,,
371,Fog Cutter,9.4,31,1 1/2 oz Light rum,1/2 oz Gin,1/2 oz Brandy,1 oz Orange juice,3 tblsp Lemon juice,1 1/2 tsp Orgeat syrup
372,Fontainebleau Special,7.0,1,1 oz Brandy,1 oz Anisette,1/2 oz Dry Vermouth,,,
373,Fort Lauderdale,7.0,3,1 1/2 oz Light rum,1/2 oz Sweet Vermouth,Juice of 1/4 Orange,Juice of 1/4 Lime,1 slice Orange,
374,Fox And Hounds,5.0,2,1 1/2 oz Bourbon,1/2 oz Pernod,1/2 oz Lemon juice,1/2 tsp superfine Sugar,1 Egg white,
375,Fox River Cocktail,3.0,3,2 oz Blended whiskey,1 tblsp Creme de Cacao,4 dashes Bitters,,,
376,Foxy Lady,7.8,8,1/2 oz Amaretto,1/2 oz Creme de Cacao,2 oz Light cream,,,
377,Frankenjack Cocktail,7.3,3,1 oz Gin,3/4 oz Dry Vermouth,1/2 oz Apricot brandy,1 tsp Triple sec,1 Cherry,
378,Freddy Fudpucker,8.5,17,2 oz Tequila,4 oz Orange juice,1/2 oz Galliano,,,
379,Free Silver,2.5,2,1/2 oz Dark rum,1 1/2 oz Gin,Juice of 1/4 Lemon,1/2 tsp Powdered sugar,1 tblsp Milk,
380,"French ""75""",6.1,44,1 1/2 oz Gin,2 tsp superfine Sugar,1 1/2 oz Lemon juice,4 oz Chilled Champagne,1 Orange,1 Maraschino cherry
381,French 125,6.0,2,2 oz Sweet and sour,1 oz Brandy,Chilled Champagne,1 slice Lemon,,
382,French Connection,8.5,28,1 1/2 oz Cognac,3/4 oz Amaretto,,,,
383,Frisco Sour,8.0,4,2 oz Blended whiskey,1/2 oz Benedictine,Juice of 1/4 Lemon,Juice of 1/2 Lime,1 slice Lemon,1 slice Lime
384,Froth Blower Cocktail,6.0,2,2 oz Gin,1 tsp Grenadine,1 Egg white,,,
385,Frozen Apple,8.2,4,1 1/2 oz Applejack,1 tblsp Lime juice,1 tsp Sugar,1/2 Egg white,,
386,Frozen Berkeley,7.5,2,1 1/2 oz Light rum,1/2 oz Brandy,1 tblsp Passion fruit syrup,1 tblsp Lemon juice,,
387,Frozen Brandy And Rum,7.5,4,1 1/2 oz Brandy,1 oz Light rum,1 tblsp Lemon juice,1 tsp Powdered sugar,1 Egg white,
388,Frozen Daiquiri,6.3,59,1 1/2 oz Light rum,1 tblsp Triple sec,1 1/2 oz Lime juice,1 tsp Sugar,1 Cherry,1 cup crushed Ice
389,Frozen Margarita #1,5.9,337,2 tsp coarse Salt,1 Lime,3 oz white Tequila,1 oz Triple sec,2 oz Lime juice,1 cup crushed Ice
390,Frozen Matador,7.1,10,1 1/2 oz Tequila,2 oz Pineapple juice,1 tblsp Lime juice,1 stick Pineapple,,
391,Frozen Mint Daiquiri,7.5,10,2 oz Light rum,1 tblsp Lime juice,6 Mint,1 tsp Sugar,,
392,Frozen Pineapple Daiquiri,9.0,9,1 1/2 oz Light rum,4 chunks Pineapple,1 tblsp Lime juice,1/2 tsp Sugar,,
393,Gareth Glowworm,2.0,2,1 1/2 oz Light rum,1/2 oz white Creme de Cacao,1 oz Heavy cream,1 tsp Cherry brandy,,
394,Gates Of Hell,7.4,12,1 1/2 oz Tequila,2 tsp Lemon juice,2 tsp Lime juice,crushed Ice,1 tsp Cherry brandy,
395,Gauguin,7.0,1,2 oz Light rum,1 tblsp Passion fruit syrup,1 tblsp Lemon juice,1 tblsp Lime juice,1 Cherry,
396,Gent Of The Jury,5.5,2,2 oz Gin,1 1/2 tsp Dry Vermouth,3 Cocktail onion,,,
397,Gentleman's Club,7.9,8,1 1/2 oz Gin,1 oz Brandy,1 oz Sweet Vermouth,1 oz Club soda,,
398,Gilroy Cocktail,nan,0,3/4 oz Cherry brandy,3/4 oz Gin,1 tblsp Dry Vermouth,Juice of 1/4 Lemon,1 dash Orange bitters,
399,Gimlet,6.4,241,2 oz Gin,1/2 oz Lime juice cordial,1 Lime,,,
400,Gin And Bitter Lemon,6.3,138,1 1/2 oz Gin,1/2 oz Lemon juice,1/2 tsp superfine Sugar,4 oz Tonic water,,
401,Gin And It,4.6,16,2 oz Gin,1 oz Sweet Vermouth,,,,
402,Gin And Pink,8.3,7,2 oz Gin,5 oz Tonic water,2 dashes Bitters,1 twist of Lemon peel,,
403,Gin And Sin,6.3,139,1 1/2 oz Gin,1 oz Orange juice,1 oz Lemon juice,1/2 tsp Grenadine,,
404,Gin And Tonic,6.3,1766,2 oz Gin,5 oz Tonic water,1 Lime,,,
405,Gin Buck,6.2,135,1 1/2 oz Gin,Juice of 1/2 Lemon,,,,
406,Gin Cobbler,6.5,4,1 tsp superfine Sugar,3 oz Club soda,1 Lemon,2 oz Gin,1 Maraschino cherry,1 Orange
407,Gin Cocktail,6.0,2,2 oz Gin,2 dashes Bitters,1 twist of Lemon peel,,,
408,Gin Cooler,nan,0,2 oz Gin,1/2 tsp Powdered sugar,1 Orange spiral,1 twist of Lemon peel,,
409,Gin Daisy,6.1,7,2 oz Gin,1 oz Lemon juice,1/2 tsp superfine Sugar,1/2 tsp Grenadine,1 Maraschino cherry,1 Orange
410,Gin Fix,6.3,11,1 tsp superfine Sugar,1 oz Lemon juice,2 tsp Water,2 oz Gin,1 Maraschino cherry,1 Lemon
411,Gin Fizz,6.5,97,2 oz Gin,Juice of 1/2 Lemon,1 tsp Powdered sugar,,,
412,Gin Highball,5.9,7,2 oz Gin,1 twist of Lemon peel,,,,
413,Gin Milk Punch,2.0,7,2 oz Gin,1 cup Milk,1 tsp Powdered sugar,,,
414,Gin Rickey,9.3,25,1 1/2 oz Gin,Juice of 1/2 Lime,1 wedge Lime,,,
415,Gin Sangaree,5.0,1,2 oz Gin,1 tblsp Port,1/2 tsp Powdered sugar,1 tsp Water,,
416,Gin Sling,8.1,7,2 oz Gin,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 tsp Water,Twist of Orange peel,
417,Gin Smash,8.0,2,2 oz Gin,1 oz Carbonated water,1 cube Sugar,4 Mint,1 slice Orange,1 Cherry
418,Gin Sour,8.1,20,2 oz Gin,1 oz Lemon juice,1/2 tsp superfine Sugar,1 Orange,1 Maraschino cherry,
419,Gin Squirt,7.0,2,1 1/2 oz Gin,1 tsp Grenadine,1 tblsp Powdered sugar,3 chunks Pineapple,2 Strawberries,
420,Gin Swizzle,8.6,8,1 1/2 oz Lime juice,1 tsp superfine Sugar,2 oz Gin,1 dash Bitters,3 oz Club soda,
421,Gin Toddy,4.0,2,2 oz Gin,2 tsp Water,1/2 tsp Powdered sugar,1 twist of Lemon peel,,
422,Gin-Cassis Fizz,8.7,14,2 1/2 oz Gin,1 1/2 oz Lemon juice,1 tsp superfine Sugar,4 oz Club soda,1/2 oz Creme de Cassis,
423,Godchild,5.8,6,1 oz Vodka,1 oz Amaretto,1 oz Heavy cream,,,
